2020-11-04 05:52:24 - 
Coordenadas
 x1,y1 - x2,y2 
0,2919 - 2559,2919 
2843,1919 - 2843,611 
2842,1069 - 2842,0 
283,1 - 2004,1 
2559,2918 - 2559,1921 
283,998 - 283,101 
282,2 - 1052,2 
1404,0 - 2005,0 
2844,1914 - 2844,1556 
2561,1919 - 2842,1919 
2266,1139 - 2393,1040 
1135,1558 - 1172,1622 
0,999 - 282,999 
1125,1558 - 1173,1579 
293,2682 - 319,2665 
2560,2114 - 2560,2022 
594,2163 - 678,2091 
1160,1728 - 1225,1731 
604,718 - 622,764 
846,1829 - 909,1816 
953,1479 - 1164,1580 
2152,1165 - 2195,1147 
862,1825 - 914,1814 
282,343 - 282,3 
594,2158 - 673,2092 
820,2451 - 821,2359 
2155,1162 - 2206,1133 
2051,1560 - 2103,1546 
284,2681 - 333,2643 
2267,1134 - 2304,1105 
1896,1633 - 1944,1601 
990,1607 - 999,1643 
512,2231 - 597,2161 
728,1110 - 753,1154 
1289,1775 - 1340,1761 
796,1225 - 801,1240 
2019,1236 - 2076,1219 
647,2108 - 664,2094 
1042,1516 - 1095,1543 
648,2105 - 659,2097 
965,1787 - 983,1768 
1031,1906 - 1042,1902 
797,1236 - 821,1303 
596,470 - 608,474 
963,1861 - 1031,1809 
295,2680 - 311,2668 
796,2607 - 796,2576 
1460,1720 - 1470,1718 
1321,1767 - 1344,1761 
2622,1079 - 2781,1124 
539,2214 - 557,2192 
384,2566 - 457,2416 
734,1123 - 742,1144 
705,2088 - 762,2025 
1728,1651 - 1824,1634 
843,913 - 843,892 
1207,1729 - 1220,1728 
2081,1204 - 2156,1170 
1076,1754 - 1162,1727 
1023,1931 - 1038,1921 
945,1868 - 980,1840 
2213,63 - 2277,52 
117,2125 - 152,2114 
1339,1667 - 1359,1676 
472,415 - 502,467 
2002,1571 - 2022,1558 
797,1244 - 810,1279 
2486,1089 - 2596,1062 
2214,1136 - 2241,1118 
89,2849 - 180,2763 
703,829 - 732,836 
602,719 - 622,776 
939,1423 - 956,1461 
2236,125 - 2244,115 
885,1913 - 941,1865 
470,2299 - 505,2263 
1592,1717 - 1611,1714 
2315,1080 - 2361,1064 
2398,1052 - 2448,1025 
1962,1582 - 2047,1557 
121,2127 - 149,2116 
2217,67 - 2242,25 
815,1450 - 816,1426 
1212,1725 - 1258,1752 
2454,1045 - 2497,1028 
462,344 - 472,368 
2841,109 - 2841,10 
207,2737 - 240,2708 
1339,1665 - 1361,1675 
1032,1934 - 1040,1912 
862,1821 - 876,1819 
987,1671 - 998,1700 
1016,1983 - 1029,2024 
803,1992 - 825,1972 
1702,1654 - 1738,1644 
355,2641 - 390,2613 
579,712 - 581,691 
2576,1070 - 2766,1126 
364,2637 - 386,2619 
464,261 - 475,335 
985,1678 - 999,1715 
901,1399 - 906,1422 
1360,1763 - 1391,1737 
1969,1577 - 2011,1569 
951,1474 - 1025,1510 
2050,1410 - 2058,1361 
2079,1138 - 2122,1138 
2075,1142 - 2089,1139 
999,1839 - 1008,1883 
1638,1687 - 1693,1667 
991,1584 - 1000,1606 
1596,1715 - 1615,1712 
812,2560 - 812,2524 
518,477 - 545,554 
1042,1785 - 1087,1748 
699,2092 - 778,1998 
908,2230 - 917,2204 
428,2917 - 440,2917 
795,1220 - 842,1184 
960,2091 - 981,2039 
2258,1129 - 2327,1075 
468,2307 - 510,2251 
823,1305 - 881,1348 
799,1213 - 842,1180 
754,825 - 759,840 
2310,31 - 2352,22 
1486,1737 - 1516,1747 
812,2508 - 816,2375 
123,2128 - 146,2119 
1036,1885 - 1039,1950 
934,1619 - 994,1611 
469,443 - 480,458 
1388,1672 - 1430,1695 
1413,1743 - 1445,1709 
978,1745 - 982,1768 
576,339 - 604,401 
1094,1745 - 1126,1735 
909,1635 - 928,1630 
840,1045 - 846,1068 
286,2684 - 336,2645 
2264,71 - 2273,56 
472,219 - 483,237 
365,2918 - 379,2918 
964,1787 - 987,1759 
818,1431 - 861,1405 
566,323 - 584,363 
2068,1220 - 2079,1216 
502,278 - 514,324 
906,2261 - 923,2237 
924,1558 - 986,1549 
1001,1878 - 1012,1875 
2320,39 - 2344,38 
476,457 - 476,393 
2047,1137 - 2078,1137 
742,843 - 828,830 
569,660 - 576,708 
2010,1243 - 2042,1232 
2052,1466 - 2062,1385 
472,2292 - 506,2258 
38,2880 - 75,2847 
85,1154 - 128,1204 
981,2053 - 1027,1963 
35,2877 - 68,2851 
847,885 - 858,878 
957,1502 - 971,1555 
1971,1139 - 2048,1133 
2042,1376 - 2053,1411 
933,1429 - 934,1417 
546,340 - 578,382 
936,1794 - 975,1783 
830,1432 - 831,1419 
2055,1171 - 2084,1165 
465,181 - 474,215 
1583,1723 - 1631,1699 
21,1000 - 278,1000 
2485,1090 - 2541,1072 
2665,1092 - 2777,1125 
1700,1656 - 1786,1638 
1390,1737 - 1540,1744 
1079,1592 - 1106,1601 
566,565 - 585,599 
927,1800 - 940,1796 
1125,1602 - 1155,1601 
2340,1078 - 2352,1073 
1139,1738 - 1173,1726 
593,360 - 634,475 
983,2145 - 1038,2072 
2217,1136 - 2249,1117 
933,2191 - 941,2171 
2192,53 - 2239,38 
108,1145 - 135,1206 
1422,1721 - 1448,1714 
145,2114 - 230,2083 
1108,1552 - 1118,1548 
481,300 - 490,322 
1045,1781 - 1082,1750 
1848,1625 - 1922,1627 
2237,169 - 2244,135 
505,464 - 514,485 
800,1255 - 825,1290 
802,1991 - 824,1972 
1393,1673 - 1434,1738 
516,475 - 543,555 
387,2556 - 415,2516 
1054,1603 - 1084,1592 
2112,1186 - 2154,1196 
2053,1377 - 2109,1439 
978,1540 - 1002,1604 
2167,55 - 2238,38 
811,2474 - 812,2489 
2114,1142 - 2160,1126 
881,1934 - 882,1921 
817,2520 - 818,2543 
1440,1708 - 1470,1721 
841,1122 - 843,1135 
992,2117 - 1039,2070 
822,2515 - 822,2460 
2085,1144 - 2097,1144 
977,2041 - 999,2022 
1280,1774 - 1337,1761 
986,2109 - 993,2134 
862,1823 - 922,1808 
610,483 - 621,433 
177,2754 - 236,2709 
475,213 - 485,220 
2043,1455 - 2103,1536 
976,1617 - 993,1614 
2361,5 - 2371,5 
873,1941 - 873,1960 
2514,2915 - 2546,2915 
732,831 - 768,840 
1352,1762 - 1389,1738 
279,2686 - 332,2646 
952,1477 - 962,1500 
1077,1593 - 1093,1592 
1806,1640 - 1821,1636 
471,395 - 475,296 
834,905 - 836,947 
574,612 - 580,630 
765,2015 - 800,1984 
2167,1196 - 2208,1185 
2343,1075 - 2376,1047 
1981,1572 - 2021,1558 
2063,1167 - 2103,1171 
521,477 - 529,524 
964,1860 - 968,1837 
752,825 - 755,840 
2407,1054 - 2447,1032 
2265,30 - 2283,4 
2086,1199 - 2158,1165 
971,1491 - 978,1502 
156,2780 - 177,2762 
2099,1173 - 2113,1174 
908,2290 - 922,2195 
888,1383 - 892,1409 
1425,1736 - 1436,1736 
883,1918 - 917,1888 
782,832 - 799,836 
483,232 - 485,245 
839,1078 - 845,1125 
827,2364 - 844,2315 
977,1847 - 1013,1828 
637,795 - 716,826 
2211,1183 - 2227,1165 
479,299 - 489,325 
2030,1344 - 2058,1362 
113,1247 - 127,1255 
820,2726 - 820,2710 
925,2191 - 978,2142 
967,2062 - 1021,1996 
448,2449 - 462,2399 
594,405 - 613,412 
2193,55 - 2240,44 
407,2529 - 417,2494 
135,2800 - 179,2766 
2330,47 - 2355,19 
2151,1123 - 2270,1183 
2251,1173 - 2270,1167 
592,430 - 618,424 
894,237 - 935,199 
852,1972 - 872,1961 
809,2513 - 814,2561 
990,1843 - 1002,1879 
864,1368 - 867,1395 
865,1367 - 948,1438 
562,362 - 589,357 
2518,1041 - 2529,1038 
1974,1145 - 1988,1145 
629,775 - 635,792 
86,1151 - 146,1214 
2294,1123 - 2306,1088 
2411,1033 - 2453,1043 
313,2024 - 324,2020 
1016,1980 - 1022,2015 
800,1992 - 816,1978 
698,1116 - 774,1157 
803,2558 - 809,2626 
920,2200 - 922,2215 
644,2113 - 670,2092 
805,2546 - 810,2609 
1898,2917 - 1920,2917 
762,2007 - 831,1973 
566,331 - 572,347 
2144,152 - 2146,131 
952,1517 - 967,1554 
2426,1027 - 2478,1043 
2170,1196 - 2237,1169 
1519,1744 - 1579,1731 
2263,71 - 2267,9 
947,1454 - 948,1439 
2029,1346 - 2054,1374 
839,944 - 839,897 
834,960 - 841,939 
464,272 - 482,332 
1052,1780 - 1056,1769 
2172,50 - 2192,46 
2235,1123 - 2252,1118 
2265,1210 - 2274,1179 
832,1144 - 841,1184 
2657,1093 - 2766,1125 
520,477 - 535,509 
978,1795 - 981,1741 
284,2680 - 328,2645 
2179,1159 - 2198,1150 
814,2407 - 815,2376 
769,1618 - 770,1630 
953,1481 - 992,1500 
861,2314 - 861,2330 
2840,266 - 2840,239 
2038,1376 - 2052,1364 
1248,1742 - 1271,1767 
511,283 - 514,293 
2175,1156 - 2209,1134 
487,273 - 498,289 
824,938 - 842,941 
1035,1796 - 1050,1783 
904,1629 - 1036,1594 
452,2432 - 473,2286 
543,534 - 546,554 
961,2073 - 965,2099 
627,773 - 631,788 
1101,1540 - 1180,1579 
497,275 - 504,311 
840,1185 - 840,1105 
2327,1090 - 2349,1076 
178,2750 - 222,2712 
828,2705 - 829,2693 
992,1595 - 1109,1598 
510,2229 - 545,2212 
1368,1672 - 1406,1681 
2087,1166 - 2149,1196 
